stock_code,corp_name,induty_code,wave_group,wave_group_final,report_ok,kw_CBAM,kw_배터리여권,kw_기어박스,kw_휠,kw_현가장치,kw_라디에이터,kw_유럽
067310,하나마이크론(주),2611,비대상,비대상,True,0,0,0,1,0,0,1
002230,피에스텍(주),27214,2차 후보(확인 필요),2차 후보(확인 필요),True,0,0,0,0,0,0,0
163560,동일고무벨트(주),2219,비대상,비대상,True,0,0,0,0,0,0,18
383220,주식회사 에프앤에프,14111,비대상,비대상,True,0,0,0,0,0,0,10
054670,대한뉴팜(주),212,비대상,비대상,True,0,0,0,0,0,0,0
460850,동국씨엠 주식회사,24122,1차(2027),1차(2027),True,13,0,0,0,0,0,19
484870,주식회사 엠앤씨솔루션,292,2차 후보(확인 필요),2차 후보(확인 필요),True,0,0,0,0,2,0,3
319400,현대무벡스(주),291,2차 후보(확인 필요),2차 후보(확인 필요),True,0,0,0,4,0,0,1
348370,(주)엔켐,20119,비대상,비대상,True,0,0,0,0,0,0,6
021040,(주)대호특수강,24123,1차(2027),1차(2027),True,0,0,0,0,0,0,0
009580,무림피앤피(주),171,비대상,비대상,True,0,0,0,0,0,0,9
001810,무림에스피(주),171,비대상,비대상,True,0,0,0,0,0,0,5
009200,무림페이퍼(주),171,비대상,비대상,True,0,0,0,1,0,0,13
059210,(주)메타바이오메드,213,비대상,비대상,True,0,0,0,0,0,0,8
340570,(주)티앤엘,213,비대상,비대상,True,0,0,0,0,0,0,48
004250,엔피씨(주),22232,비대상,비대상,True,0,0,0,0,0,0,0
083550,(주)케이엠,139,비대상,비대상,True,0,0,0,0,0,0,2
005750,대림바스 주식회사,23222,비대상,비대상,True,0,0,0,0,0,0,0
144960,(주)뉴파워프라즈마,29271,비대상,비대상,True,0,0,0,0,0,0,0
055490,(주)테이팩스,2229,비대상,비대상,True,0,0,0,0,0,0,3
005500,삼진제약(주),212,비대상,비대상,True,0,0,0,0,0,0,0
237690,에스티팜(주),212,비대상,비대상,True,0,0,0,0,0,0,41
009680,(주)모토닉,303,2차 후보(확인 필요),"2차(2028, 제품명 확인)",True,0,0,9,0,0,0,0
017810,(주)풀무원,108,비대상,비대상,True,0,0,0,0,0,0,3
065500,(주)오리엔트정공,303,2차 후보(확인 필요),"2차(2028, 제품명 확인)",True,0,0,11,1,0,4,0
204270,(주)제이앤티씨,262,비대상,비대상,True,0,0,0,0,0,0,0
145720,(주)덴티움,27191,2차 후보(확인 필요),2차 후보(확인 필요),True,2,0,0,0,0,0,16
044490,(주)태웅,25912,1차(2027),1차(2027),True,0,0,0,0,0,0,5
139990,아주스틸(주),2419,1차(2027),1차(2027),True,9,0,0,0,0,0,4
482630,(주)삼양엔씨켐,20499,비대상,비대상,True,0,0,0,0,0,0,0
065130,(주)탑엔지니어링,29272,비대상,비대상,True,0,0,0,0,0,0,6
008040,사조동아원(주),105,비대상,비대상,True,0,0,0,0,0,0,0
088800,(주)에이스테크놀로지,2642,비대상,비대상,True,0,0,0,0,0,0,3
122310,(주)제노레이,27111,비대상,비대상,True,0,0,0,0,0,0,9
162300,주식회사 신스틸,241,1차(2027),1차(2027),True,0,0,0,0,0,0,0
265520,에이피시스템(주),29272,비대상,비대상,True,0,0,0,0,0,0,0
027740,(주)마니커,1012,비대상,비대상,True,0,0,0,0,0,0,0
195870,해성디에스(주),262,비대상,비대상,True,0,0,0,0,0,0,2
206650,(주)유바이오로직스,212,비대상,비대상,True,0,0,0,0,0,0,5
001790,대한제당(주),105,비대상,비대상,True,0,0,0,0,0,0,4
001680,대상(주),108,비대상,비대상,True,0,0,0,0,0,0,10
027710,(주)팜스토리,109,비대상,비대상,True,0,0,0,0,0,0,1
002960,한국쉘석유(주),19221,비대상,비대상,True,0,0,0,0,0,0,6
052710,(주)아모텍,2629,비대상,비대상,True,0,0,0,0,0,0,7
002600,(주)조흥,108,비대상,비대상,True,0,0,0,0,0,0,0
099320,주식회사쎄트렉아이,3131,비대상,비대상,True,0,0,0,0,0,0,6
101530,해태제과식품주식회사,108,비대상,비대상,True,0,0,0,0,0,0,1
170900,동아에스티(주),212,비대상,비대상,True,0,0,0,0,0,0,26
248170,샘표식품(주),108,비대상,비대상,True,0,0,0,0,0,0,9
264900,(주)크라운제과,106,비대상,비대상,True,0,0,0,0,0,0,0
009450,(주)경동나비엔,28520,비대상,비대상,True,0,0,0,0,0,0,3
017890,한국알콜산업(주),204,비대상,비대상,True,0,0,0,0,0,0,0
023410,유진기업(주),23322,비대상,비대상,True,0,0,0,0,0,0,4
005850,에스엘(주),303,2차 후보(확인 필요),2차 후보(확인 필요),True,0,0,0,0,0,0,9
126880,제이엔케이글로벌(주),291,2차 후보(확인 필요),2차 후보(확인 필요),True,0,0,0,0,0,0,0
011040,경동제약(주),212,비대상,비대상,True,0,0,0,0,0,0,0
023910,대한약품공업(주),212,비대상,비대상,True,0,0,0,0,0,0,0
006620,(주)동구바이오제약,212,비대상,비대상,True,0,0,0,0,0,0,1
086450,동국제약(주),212,비대상,비대상,True,0,0,0,0,0,0,11
083450,(주)글로벌스탠다드테크놀로지,29271,비대상,비대상,True,0,0,0,0,0,0,6
005010,(주)휴스틸,2413,1차(2027),1차(2027),True,0,0,0,0,0,0,0
200670,(주)휴메딕스,212,비대상,비대상,True,0,0,0,0,0,0,15
222040,코스맥스엔비티(주),108,비대상,비대상,True,0,0,0,0,0,0,1
035150,(주)백산,22214,비대상,비대상,True,0,0,0,0,0,0,8
