stock_code,corp_name,size_class,is_holding,wave_group_reviewed,induty_code,kisa_name,kisa_type_used,it_year,it_spend,rev_same_year,it_ratio,rev_band
075970,(주)동국알앤에스,중소,False,비대상,239,,,,,,,
003720,(주)삼영,중소,False,비대상,2221,,,,,,,
108230,(주)톱텍,중견,False,2차 후보(확인 필요),292,(주) 톱텍,자율,2025,995910419.0,155500667844.0,0.0064045411046022545,3천억 미만
417790,주식회사 트루엔,중소,False,비대상,265,,,,,,,
137940,(주)넥스트아이,중소,False,2차 후보-약,27216,,,,,,,
008260,(주)NI스틸,중견,False,1차(2027),2419,,,,,,,
006920,(주)모헨즈,중소,False,비대상,23322,,,,,,,
008420,문배철강(주),중소,False,1차(2027),2419,,,,,,,
024070,(주)WISCOM,중소,False,비대상,22299,,,,,,,
091700,(주)파트론,중견,False,비대상,2629,(주)파트론,의무,2025,425670767.0,1281439139367.0,0.0003321818055364464,1조~5조
050860,(주)아세아텍,중견,False,2차(2028),29210,,,,,,,
076610,해성옵틱스(주),중소,False,비대상,273,,,,,,,
033500,(주)동성화인텍,중견,False,비대상,201,(주)동성화인텍,의무,2025,2006398215.0,742186008411.0,0.0027033630279498853,5천억~1조
023810,(주)인팩,중견,False,2차 후보(확인 필요),303,,,,,,,
100250,(주)진양홀딩스,중소,True,비대상,222,,,,,,,
097520,(주)엠씨넥스,중견,False,비대상,26519,엠씨넥스,의무,2025,2844211496.0,964626721908.0,0.0029485099587270845,5천억~1조
012340,(주)뉴인텍,중소,False,2차 후보(확인 필요),303,,,,,,,
064820,(주)케이프,중소,False,비대상,31114,,,,,,,
105760,(주)포스뱅크,중소,False,2차 후보(확인 필요),291,,,,,,,
035200,(주)프럼파스트,중소,False,비대상,22211,,,,,,,
043910,(주)자연과환경,중소,False,2차 후보(확인 필요),233,,,,,,,
241770,(주)메카로,중소,False,비대상,261,,,,,,,
012610,(주)경인양행,중견,False,비대상,20132,,,,,,,
